,name,value
0,Alliaceous,0
142,Ambrosial,1
216,Ammonia,2
273,Aromatic,3
862,Baked,4
879,Bakery,5
1178,Balsamic,6
1345,Bitter,8
1372,Bland,9
1375,Bloody,10
1376,Boiled,11
1379,Beverage,7
1564,Brown,12
1582,Building materials,13
1921,Burnt,14
1945,Caramel,15
2088,Characteristic,16
2092,Chemical/ Hydrocar,17
2422,Chlorinous/ Ozonou,18
2436,Chocolate,19
2441,Citrus,20
2526,Clean,21
2549,Cleaning materials,22
2553,Cloth,23
2554,Cooked,24
2560,Dairy,25
2640,Dry,26
2654,Dry fruit,27
2688,Dry woods,28
2701,Earthy,29
2720,Earthy/ Musty/ Mol,30
2802,Estery,31
2812,Fecal/ Sewery,32
2815,Fishy/ Rancid,33
2822,Floral,34
3106,Food,35
3210,Foul,36
3227,Fragrant,37
3289,Fragrant/ Fruity,38
3497,Fresh,39
3504,Fried,40
3507,Fruity,41
3515,Fuel/ Gas Station/ S,42
3516,Grains,43
3517,Grassy/ Woody,44
3521,Herbaceous,45
3522,Hircine,46
3523,Lemon,47
3536,Medicinal/ Phenolic,48
3551,Microbial,49
3552,Microbiological,50
3554,Minty,51
3581,Mossy woods,52
3583,Nature,53
3585,Non-food items,54
3600,Non-vegetarian,55
3601,Nutty,56
3620,Oriental,57
3621,Other,58
3628,People & animals,59
3633,Plants,60
3637,Spices,61
3638,Sulphur/ Cabbage/,62
3640,Sweet,63
3661,Terpenes/ Pine/ Le,64
3662,Vegetables,65
3665,Vegetation,66
3666,Water,67
3667,Waxy,68
